Aantal tarief eenheden,Voltarief incl. 9% btw,20% korting incl. 9% btw,40% korting incl. 9% btw
0,2.8,2.24,1.68,
1,2.8,2.24,1.68,
2,2.8,2.24,1.68,
3,2.8,2.24,1.68,
4,2.8,2.24,1.68,
5,2.8,2.24,1.68,
6,2.8,2.24,1.68,
7,2.8,2.24,1.68,
8,2.8,2.24,1.68,
9,3.1,2.48,1.86,
10,3.3,2.64,1.98,
11,3.5,2.8,2.1,
12,3.7,2.96,2.22,
13,3.9,3.12,2.34,
14,4.1,3.28,2.46,
15,4.4,3.52,2.64,
16,4.6,3.68,2.76,
17,4.8,3.84,2.88,
18,5,4,3,
19,5.2,4.16,3.12,
20,5.4,4.32,3.24,
21,5.6,4.48,3.36,
22,5.8,4.64,3.48,
23,6,4.8,3.6,
24,6.2,4.96,3.72,
25,6.5,5.2,3.9,
26,6.7,5.36,4.02,
27,6.9,5.52,4.14,
28,7.1,5.68,4.26,
29,7.3,5.84,4.38,
30,7.5,6,4.5,
31,7.7,6.16,4.62,
32,7.9,6.32,4.74,
33,8.1,6.48,4.86,
34,8.3,6.64,4.98,
35,8.6,6.88,5.16,
36,8.8,7.04,5.28,
37,9,7.2,5.4,
38,9.2,7.36,5.52,
39,9.4,7.52,5.64,
40,9.6,7.68,5.76,
41,9.8,7.84,5.88,
42,10,8,6,
43,10.2,8.16,6.12,
44,10.4,8.32,6.24,
45,10.6,8.48,6.36,
46,10.9,8.72,6.54,
47,11.1,8.88,6.66,
48,11.3,9.04,6.78,
49,11.5,9.2,6.9,
50,11.7,9.36,7.02,
51,11.9,9.52,7.14,
52,12.1,9.68,7.26,
53,12.3,9.84,7.38,
54,12.5,10,7.5,
55,12.7,10.16,7.62,
56,12.9,10.32,7.74,
57,13.1,10.48,7.86,
58,13.3,10.64,7.98,
59,13.6,10.88,8.16,
60,13.8,11.04,8.28,
61,14,11.2,8.4,
62,14.2,11.36,8.52,
63,14.4,11.52,8.64,
64,14.7,11.76,8.82,
65,14.9,11.92,8.94,
66,15.2,12.16,9.12,
67,15.4,12.32,9.24,
68,15.6,12.48,9.36,
69,15.7,12.56,9.42,
70,15.8,12.64,9.48,
71,16.1,12.88,9.66,
72,16.3,13.04,9.78,
73,16.5,13.2,9.9,
74,16.7,13.36,10.02,
75,16.9,13.52,10.14,
76,17.1,13.68,10.26,
77,17.3,13.84,10.38,
78,17.5,14,10.5,
79,17.7,14.16,10.62,
80,17.9,14.32,10.74,
81,18.1,14.48,10.86,
82,18.3,14.64,10.98,
83,18.4,14.72,11.04,
84,18.6,14.88,11.16,
85,18.8,15.04,11.28,
86,19,15.2,11.4,
87,19.1,15.28,11.46,
88,19.3,15.44,11.58,
89,19.5,15.6,11.7,
90,19.7,15.76,11.82,
91,19.8,15.84,11.88,
92,20,16,12,
93,20.1,16.08,12.06,
94,20.3,16.24,12.18,
95,20.5,16.4,12.3,
96,20.6,16.48,12.36,
97,20.8,16.64,12.48,
98,20.9,16.72,12.54,
99,21.1,16.88,12.66,
100,21.3,17.04,12.78,
101,21.4,17.12,12.84,
102,21.6,17.28,12.96,
103,21.7,17.36,13.02,
104,21.9,17.52,13.14,
105,22,17.6,13.2,
106,22.2,17.76,13.32,
107,22.3,17.84,13.38,
108,22.4,17.92,13.44,
109,22.6,18.08,13.56,
110,22.7,18.16,13.62,
111,22.9,18.32,13.74,
112,23,18.4,13.8,
113,23.2,18.56,13.92,
114,23.3,18.64,13.98,
115,23.5,18.8,14.1,
116,23.6,18.88,14.16,
117,23.8,19.04,14.28,
118,23.9,19.12,14.34,
119,24.1,19.28,14.46,
120,24.2,19.36,14.52,
121,24.3,19.44,14.58,
122,24.4,19.52,14.64,
123,24.5,19.6,14.7,
124,24.6,19.68,14.76,
125,24.7,19.76,14.82,
126,24.8,19.84,14.88,
127,24.9,19.92,14.94,
128,25,20,15,
129,25.1,20.08,15.06,
130,25.2,20.16,15.12,
131,25.3,20.24,15.18,
132,25.3,20.24,15.18,
133,25.4,20.32,15.24,
134,25.5,20.4,15.3,
135,25.6,20.48,15.36,
136,25.7,20.56,15.42,
137,25.8,20.64,15.48,
138,25.9,20.72,15.54,
139,26,20.8,15.6,
140,26.1,20.88,15.66,
141,26.2,20.96,15.72,
142,26.3,21.04,15.78,
143,26.4,21.12,15.84,
144,26.5,21.2,15.9,
145,26.6,21.28,15.96,
146,26.7,21.36,16.02,
147,26.8,21.44,16.08,
148,26.9,21.52,16.14,
149,27,21.6,16.2,
150,27,21.6,16.2,
151,27.1,21.68,16.26,
152,27.2,21.76,16.32,
153,27.3,21.84,16.38,
154,27.4,21.92,16.44,
155,27.5,22,16.5,
156,27.6,22.08,16.56,
157,27.6,22.08,16.56,
158,27.7,22.16,16.62,
159,27.8,22.24,16.68,
160,27.9,22.32,16.74,
161,28,22.4,16.8,
162,28.1,22.48,16.86,
163,28.1,22.48,16.86,
164,28.2,22.56,16.92,
165,28.3,22.64,16.98,
166,28.4,22.72,17.04,
167,28.5,22.8,17.1,
168,28.6,22.88,17.16,
169,28.6,22.88,17.16,
170,28.7,22.96,17.22,
171,28.8,23.04,17.28,
172,28.9,23.12,17.34,
173,29,23.2,17.4,
174,29.1,23.28,17.46,
175,29.1,23.28,17.46,
176,29.2,23.36,17.52,
177,29.3,23.44,17.58,
178,29.4,23.52,17.64,
179,29.5,23.6,17.7,
180,29.6,23.68,17.76,
181,29.7,23.76,17.82,
182,29.7,23.76,17.82,
183,29.8,23.84,17.88,
184,29.9,23.92,17.94,
185,30,24,18,
186,30.1,24.08,18.06,
187,30.2,24.16,18.12,
188,30.2,24.16,18.12,
189,30.3,24.24,18.18,
190,30.4,24.32,18.24,
191,30.5,24.4,18.3,
192,30.6,24.48,18.36,
193,30.7,24.56,18.42,
194,30.7,24.56,18.42,
195,30.8,24.64,18.48,
196,30.9,24.72,18.54,
197,31,24.8,18.6,
198,31.1,24.88,18.66,
199,31.2,24.96,18.72,
200,31.2,24.96,18.72,
