Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
90,17.6,14.08,10.56,
91,17.7,14.16,10.62,
92,17.9,14.32,10.74,
93,18,14.4,10.8,
94,18.1,14.48,10.86,
95,18.3,14.64,10.98,
96,18.4,14.72,11.04,
97,18.6,14.88,11.16,
98,18.7,14.96,11.22,
99,18.8,15.04,11.28,
100,19,15.2,11.4,
101,19.1,15.28,11.46,
102,19.3,15.44,11.58,
103,19.4,15.52,11.64,
104,19.5,15.6,11.7,
105,19.6,15.68,11.76,
106,19.8,15.84,11.88,
107,19.9,15.92,11.94,
108,20,16,12,
109,20.2,16.16,12.12,
110,20.3,16.24,12.18,
111,20.4,16.32,12.24,
112,20.6,16.48,12.36,
113,20.7,16.56,12.42,
114,20.8,16.64,12.48,
115,21,16.8,12.6,
116,21.1,16.88,12.66,
117,21.2,16.96,12.72,
118,21.4,17.12,12.84,
119,21.5,17.2,12.9,
120,21.6,17.28,12.96,
121,21.7,17.36,13.02,
122,21.8,17.44,13.08,
123,21.9,17.52,13.14,
124,22,17.6,13.2,
125,22,17.6,13.2,
126,22.1,17.68,13.26,
127,22.2,17.76,13.32,
128,22.3,17.84,13.38,
129,22.4,17.92,13.44,
130,22.5,18,13.5,
131,22.5,18,13.5,
132,22.6,18.08,13.56,
133,22.7,18.16,13.62,
134,22.8,18.24,13.68,
135,22.9,18.32,13.74,
136,23,18.4,13.8,
137,23.1,18.48,13.86,
138,23.1,18.48,13.86,
139,23.2,18.56,13.92,
140,23.3,18.64,13.98,
141,23.4,18.72,14.04,
142,23.5,18.8,14.1,
143,23.6,18.88,14.16,
144,23.6,18.88,14.16,
145,23.7,18.96,14.22,
146,23.8,19.04,14.28,
147,23.9,19.12,14.34,
148,24,19.2,14.4,
149,24.1,19.28,14.46,
150,24.2,19.36,14.52,
151,24.2,19.36,14.52,
152,24.3,19.44,14.58,
153,24.4,19.52,14.64,
154,24.5,19.6,14.7,
155,24.5,19.6,14.7,
156,24.6,19.68,14.76,
157,24.7,19.76,14.82,
158,24.8,19.84,14.88,
159,24.8,19.84,14.88,
160,24.9,19.92,14.94,
161,25,20,15,
162,25.1,20.08,15.06,
163,25.1,20.08,15.06,
164,25.2,20.16,15.12,
165,25.3,20.24,15.18,
166,25.4,20.32,15.24,
167,25.4,20.32,15.24,
168,25.5,20.4,15.3,
169,25.6,20.48,15.36,
170,25.7,20.56,15.42,
171,25.7,20.56,15.42,
172,25.8,20.64,15.48,
173,25.9,20.72,15.54,
174,26,20.8,15.6,
175,26,20.8,15.6,
176,26.1,20.88,15.66,
177,26.2,20.96,15.72,
178,26.3,21.04,15.78,
179,26.3,21.04,15.78,
180,26.4,21.12,15.84,
181,26.5,21.2,15.9,
182,26.6,21.28,15.96,
183,26.6,21.28,15.96,
184,26.7,21.36,16.02,
185,26.8,21.44,16.08,
186,26.9,21.52,16.14,
187,26.9,21.52,16.14,
188,27,21.6,16.2,
189,27.1,21.68,16.26,
190,27.2,21.76,16.32,
191,27.2,21.76,16.32,
192,27.3,21.84,16.38,
193,27.4,21.92,16.44,
194,27.5,22,16.5,
195,27.5,22,16.5,
196,27.6,22.08,16.56,
197,27.7,22.16,16.62,
198,27.8,22.24,16.68,
199,27.8,22.24,16.68,
200,27.9,22.32,16.74,
