Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.5,2,1.5,
1,2.5,2,1.5,
2,2.5,2,1.5,
3,2.5,2,1.5,
4,2.5,2,1.5,
5,2.5,2,1.5,
6,2.5,2,1.5,
7,2.5,2,1.5,
8,2.5,2,1.5,
9,2.7,2.16,1.62,
10,2.9,2.32,1.74,
11,3.1,2.48,1.86,
12,3.3,2.64,1.98,
13,3.5,2.8,2.1,
14,3.7,2.96,2.22,
15,3.9,3.12,2.34,
16,4.1,3.28,2.46,
17,4.3,3.44,2.58,
18,4.4,3.52,2.64,
19,4.7,3.76,2.82,
20,4.8,3.84,2.88,
21,5,4,3,
22,5.2,4.16,3.12,
23,5.4,4.32,3.24,
24,5.6,4.48,3.36,
25,5.8,4.64,3.48,
26,6,4.8,3.6,
27,6.1,4.88,3.66,
28,6.3,5.04,3.78,
29,6.5,5.2,3.9,
30,6.7,5.36,4.02,
31,6.9,5.52,4.14,
32,7.1,5.68,4.26,
33,7.3,5.84,4.38,
34,7.5,6,4.5,
35,7.6,6.08,4.56,
36,7.8,6.24,4.68,
37,8,6.4,4.8,
38,8.2,6.56,4.92,
39,8.4,6.72,5.04,
40,8.6,6.88,5.16,
41,8.8,7.04,5.28,
42,8.9,7.12,5.34,
43,9.1,7.28,5.46,
44,9.3,7.44,5.58,
45,9.5,7.6,5.7,
46,9.7,7.76,5.82,
47,9.9,7.92,5.94,
48,10.1,8.08,6.06,
49,10.2,8.16,6.12,
50,10.4,8.32,6.24,
51,10.6,8.48,6.36,
52,10.8,8.64,6.48,
53,11,8.8,6.6,
54,11.2,8.96,6.72,
55,11.4,9.12,6.84,
56,11.5,9.2,6.9,
57,11.7,9.36,7.02,
58,11.9,9.52,7.14,
59,12.1,9.68,7.26,
60,12.3,9.84,7.38,
61,12.5,10,7.5,
62,12.7,10.16,7.62,
63,12.8,10.24,7.68,
64,13,10.4,7.8,
65,13.2,10.56,7.92,
66,13.4,10.72,8.04,
67,13.6,10.88,8.16,
68,13.8,11.04,8.28,
69,14,11.2,8.4,
70,14.2,11.36,8.52,
71,14.3,11.44,8.58,
72,14.5,11.6,8.7,
73,14.7,11.76,8.82,
74,14.9,11.92,8.94,
75,15.1,12.08,9.06,
76,15.3,12.24,9.18,
77,15.5,12.4,9.3,
78,15.6,12.48,9.36,
79,15.8,12.64,9.48,
80,16,12.8,9.6,
81,16.2,12.96,9.72,
82,16.3,13.04,9.78,
83,16.5,13.2,9.9,
84,16.6,13.28,9.96,
85,16.8,13.44,10.08,
86,16.9,13.52,10.14,
87,17.1,13.68,10.26,
88,17.3,13.84,10.38,
89,17.4,13.92,10.44,
