Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.4,1.92,1.44,
1,2.4,1.92,1.44,
2,2.4,1.92,1.44,
3,2.4,1.92,1.44,
4,2.4,1.92,1.44,
5,2.4,1.92,1.44,
6,2.4,1.92,1.44,
7,2.4,1.92,1.44,
8,2.4,1.92,1.44,
9,2.6,2.08,1.56,
10,2.8,2.24,1.68,
11,3,2.4,1.8,
12,3.2,2.56,1.92,
13,3.4,2.72,2.04,
14,3.6,2.88,2.16,
15,3.8,3.04,2.28,
16,3.9,3.12,2.34,
17,4.1,3.28,2.46,
18,4.3,3.44,2.58,
19,4.5,3.6,2.7,
20,4.7,3.76,2.82,
21,4.9,3.92,2.94,
22,5,4,3,
23,5.2,4.16,3.12,
24,5.4,4.32,3.24,
25,5.6,4.48,3.36,
26,5.8,4.64,3.48,
27,5.9,4.72,3.54,
28,6.1,4.88,3.66,
29,6.3,5.04,3.78,
30,6.5,5.2,3.9,
31,6.7,5.36,4.02,
32,6.9,5.52,4.14,
33,7,5.6,4.2,
34,7.2,5.76,4.32,
35,7.4,5.92,4.44,
36,7.6,6.08,4.56,
37,7.8,6.24,4.68,
38,7.9,6.32,4.74,
39,8.1,6.48,4.86,
40,8.3,6.64,4.98,
41,8.5,6.8,5.1,
42,8.7,6.96,5.22,
43,8.9,7.12,5.34,
44,9,7.2,5.4,
45,9.2,7.36,5.52,
46,9.4,7.52,5.64,
47,9.6,7.68,5.76,
48,9.8,7.84,5.88,
49,9.9,7.92,5.94,
50,10.1,8.08,6.06,
51,10.3,8.24,6.18,
52,10.5,8.4,6.3,
53,10.7,8.56,6.42,
54,10.8,8.64,6.48,
55,11,8.8,6.6,
56,11.2,8.96,6.72,
57,11.4,9.12,6.84,
58,11.6,9.28,6.96,
59,11.7,9.36,7.02,
60,11.9,9.52,7.14,
61,12.1,9.68,7.26,
62,12.3,9.84,7.38,
63,12.5,10,7.5,
64,12.6,10.08,7.56,
65,12.8,10.24,7.68,
66,13,10.4,7.8,
67,13.2,10.56,7.92,
68,13.4,10.72,8.04,
69,13.5,10.8,8.1,
70,13.7,10.96,8.22,
71,13.9,11.12,8.34,
72,14.1,11.28,8.46,
73,14.3,11.44,8.58,
74,14.4,11.52,8.64,
75,14.6,11.68,8.76,
76,14.8,11.84,8.88,
77,15,12,9,
78,15.2,12.16,9.12,
79,15.3,12.24,9.18,
80,15.5,12.4,9.3,
81,15.7,12.56,9.42,
82,15.8,12.64,9.48,
83,16,12.8,9.6,
84,16.1,12.88,9.66,
85,16.3,13.04,9.78,
86,16.4,13.12,9.84,
87,16.6,13.28,9.96,
88,16.7,13.36,10.02,
89,16.9,13.52,10.14,
90,17,13.6,10.2,
91,17.2,13.76,10.32,
92,17.3,13.84,10.38,
93,17.4,13.92,10.44,
94,17.6,14.08,10.56,
95,17.7,14.16,10.62,
96,17.8,14.24,10.68,
97,18,14.4,10.8,
98,18.1,14.48,10.86,
99,18.3,14.64,10.98,
100,18.4,14.72,11.04,
101,18.5,14.8,11.1,
102,18.7,14.96,11.22,
103,18.8,15.04,11.28,
104,18.9,15.12,11.34,
105,19,15.2,11.4,
106,19.2,15.36,11.52,
107,19.3,15.44,11.58,
108,19.4,15.52,11.64,
109,19.5,15.6,11.7,
110,19.7,15.76,11.82,
111,19.8,15.84,11.88,
112,19.9,15.92,11.94,
113,20.1,16.08,12.06,
114,20.2,16.16,12.12,
115,20.3,16.24,12.18,
116,20.4,16.32,12.24,
117,20.6,16.48,12.36,
118,20.7,16.56,12.42,
119,20.8,16.64,12.48,
120,20.9,16.72,12.54,
121,21,16.8,12.6,
122,21.1,16.88,12.66,
123,21.2,16.96,12.72,
124,21.3,17.04,12.78,
125,21.4,17.12,12.84,
126,21.4,17.12,12.84,
127,21.5,17.2,12.9,
128,21.6,17.28,12.96,
129,21.7,17.36,13.02,
130,21.8,17.44,13.08,
131,21.8,17.44,13.08,
132,21.9,17.52,13.14,
133,22,17.6,13.2,
134,22.1,17.68,13.26,
135,22.2,17.76,13.32,
136,22.3,17.84,13.38,
137,22.3,17.84,13.38,
138,22.4,17.92,13.44,
139,22.5,18,13.5,
140,22.6,18.08,13.56,
141,22.7,18.16,13.62,
142,22.7,18.16,13.62,
143,22.8,18.24,13.68,
144,22.9,18.32,13.74,
145,23,18.4,13.8,
146,23.1,18.48,13.86,
147,23.2,18.56,13.92,
148,23.2,18.56,13.92,
149,23.3,18.64,13.98,
150,23.4,18.72,14.04,
151,23.5,18.8,14.1,
152,23.5,18.8,14.1,
153,23.6,18.88,14.16,
154,23.7,18.96,14.22,
155,23.8,19.04,14.28,
156,23.8,19.04,14.28,
157,23.9,19.12,14.34,
158,24,19.2,14.4,
159,24.1,19.28,14.46,
160,24.1,19.28,14.46,
161,24.2,19.36,14.52,
162,24.3,19.44,14.58,
163,24.3,19.44,14.58,
164,24.4,19.52,14.64,
165,24.5,19.6,14.7,
166,24.6,19.68,14.76,
167,24.6,19.68,14.76,
168,24.7,19.76,14.82,
169,24.8,19.84,14.88,
170,24.9,19.92,14.94,
171,24.9,19.92,14.94,
172,25,20,15,
173,25.1,20.08,15.06,
174,25.1,20.08,15.06,
175,25.2,20.16,15.12,
176,25.3,20.24,15.18,
177,25.4,20.32,15.24,
178,25.4,20.32,15.24,
179,25.5,20.4,15.3,
180,25.6,20.48,15.36,
181,25.7,20.56,15.42,
182,25.7,20.56,15.42,
183,25.8,20.64,15.48,
184,25.9,20.72,15.54,
185,25.9,20.72,15.54,
186,26,20.8,15.6,
187,26.1,20.88,15.66,
188,26.2,20.96,15.72,
189,26.2,20.96,15.72,
190,26.3,21.04,15.78,
191,26.4,21.12,15.84,
192,26.5,21.2,15.9,
193,26.5,21.2,15.9,
194,26.6,21.28,15.96,
195,26.7,21.36,16.02,
196,26.7,21.36,16.02,
197,26.8,21.44,16.08,
198,26.9,21.52,16.14,
199,27,21.6,16.2,
200,27,21.6,16.2,
