Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.4,1.92,1.44,
1,2.4,1.92,1.44,
2,2.4,1.92,1.44,
3,2.4,1.92,1.44,
4,2.4,1.92,1.44,
5,2.4,1.92,1.44,
6,2.4,1.92,1.44,
7,2.4,1.92,1.44,
8,2.4,1.92,1.44,
9,2.6,2.08,1.56,
10,2.8,2.24,1.68,
11,3,2.4,1.8,
12,3.2,2.56,1.92,
13,3.3,2.64,1.98,
14,3.5,2.8,2.1,
15,3.7,2.96,2.22,
16,3.9,3.12,2.34,
17,4.1,3.28,2.46,
18,4.3,3.44,2.58,
19,4.5,3.6,2.7,
20,4.6,3.68,2.76,
21,4.8,3.84,2.88,
22,5,4,3,
23,5.1,4.08,3.06,
24,5.3,4.24,3.18,
25,5.5,4.4,3.3,
26,5.7,4.56,3.42,
27,5.8,4.64,3.48,
28,6,4.8,3.6,
29,6.2,4.96,3.72,
30,6.4,5.12,3.84,
31,6.5,5.2,3.9,
32,6.7,5.36,4.02,
33,6.9,5.52,4.14,
34,7.1,5.68,4.26,
35,7.3,5.84,4.38,
36,7.4,5.92,4.44,
37,7.6,6.08,4.56,
38,7.8,6.24,4.68,
39,8,6.4,4.8,
40,8.2,6.56,4.92,
41,8.3,6.64,4.98,
42,8.5,6.8,5.1,
43,8.7,6.96,5.22,
44,8.9,7.12,5.34,
45,9.1,7.28,5.46,
46,9.2,7.36,5.52,
47,9.4,7.52,5.64,
48,9.6,7.68,5.76,
49,9.8,7.84,5.88,
50,9.9,7.92,5.94,
51,10.1,8.08,6.06,
52,10.3,8.24,6.18,
53,10.5,8.4,6.3,
54,10.6,8.48,6.36,
55,10.8,8.64,6.48,
56,11,8.8,6.6,
57,11.2,8.96,6.72,
58,11.4,9.12,6.84,
59,11.5,9.2,6.9,
60,11.7,9.36,7.02,
61,11.9,9.52,7.14,
62,12.1,9.68,7.26,
63,12.2,9.76,7.32,
64,12.4,9.92,7.44,
65,12.6,10.08,7.56,
66,12.8,10.24,7.68,
67,13,10.4,7.8,
68,13.1,10.48,7.86,
69,13.3,10.64,7.98,
70,13.5,10.8,8.1,
71,13.7,10.96,8.22,
72,13.8,11.04,8.28,
73,14,11.2,8.4,
74,14.2,11.36,8.52,
75,14.4,11.52,8.64,
76,14.5,11.6,8.7,
77,14.7,11.76,8.82,
78,14.9,11.92,8.94,
79,15.1,12.08,9.06,
80,15.2,12.16,9.12,
81,15.4,12.32,9.24,
82,15.5,12.4,9.3,
83,15.6,12.48,9.36,
84,15.8,12.64,9.48,
85,16,12.8,9.6,
86,16.1,12.88,9.66,
87,16.2,12.96,9.72,
88,16.4,13.12,9.84,
89,16.5,13.2,9.9,
90,16.7,13.36,10.02,
91,16.9,13.52,10.14,
92,17,13.6,10.2,
93,17.1,13.68,10.26,
94,17.2,13.76,10.32,
95,17.4,13.92,10.44,
96,17.5,14,10.5,
97,17.7,14.16,10.62,
98,17.8,14.24,10.68,
99,18,14.4,10.8,
100,18.1,14.48,10.86,
101,18.2,14.56,10.92,
102,18.3,14.64,10.98,
103,18.5,14.8,11.1,
104,18.6,14.88,11.16,
105,18.7,14.96,11.22,
106,18.8,15.04,11.28,
107,19,15.2,11.4,
108,19.1,15.28,11.46,
109,19.2,15.36,11.52,
110,19.3,15.44,11.58,
111,19.5,15.6,11.7,
112,19.6,15.68,11.76,
113,19.7,15.76,11.82,
114,19.8,15.84,11.88,
115,20,16,12,
116,20.1,16.08,12.06,
117,20.2,16.16,12.12,
118,20.3,16.24,12.18,
119,20.5,16.4,12.3,
120,20.6,16.48,12.36,
121,20.7,16.56,12.42,
122,20.8,16.64,12.48,
123,20.8,16.64,12.48,
124,20.9,16.72,12.54,
125,21,16.8,12.6,
126,21.1,16.88,12.66,
127,21.2,16.96,12.72,
128,21.2,16.96,12.72,
129,21.3,17.04,12.78,
130,21.4,17.12,12.84,
131,21.5,17.2,12.9,
132,21.6,17.28,12.96,
133,21.7,17.36,13.02,
134,21.7,17.36,13.02,
135,21.8,17.44,13.08,
136,21.9,17.52,13.14,
137,22,17.6,13.2,
138,22.1,17.68,13.26,
139,22.1,17.68,13.26,
140,22.2,17.76,13.32,
141,22.3,17.84,13.38,
142,22.4,17.92,13.44,
143,22.5,18,13.5,
144,22.6,18.08,13.56,
145,22.6,18.08,13.56,
146,22.7,18.16,13.62,
147,22.8,18.24,13.68,
148,22.9,18.32,13.74,
149,23,18.4,13.8,
150,23.1,18.48,13.86,
151,23.1,18.48,13.86,
152,23.2,18.56,13.92,
153,23.3,18.64,13.98,
154,23.3,18.64,13.98,
155,23.4,18.72,14.04,
156,23.5,18.8,14.1,
157,23.5,18.8,14.1,
158,23.6,18.88,14.16,
159,23.7,18.96,14.22,
160,23.8,19.04,14.28,
161,23.8,19.04,14.28,
162,23.9,19.12,14.34,
163,24,19.2,14.4,
164,24,19.2,14.4,
165,24.1,19.28,14.46,
166,24.2,19.36,14.52,
167,24.2,19.36,14.52,
168,24.3,19.44,14.58,
169,24.4,19.52,14.64,
170,24.4,19.52,14.64,
171,24.5,19.6,14.7,
172,24.6,19.68,14.76,
173,24.7,19.76,14.82,
174,24.7,19.76,14.82,
175,24.8,19.84,14.88,
176,24.9,19.92,14.94,
177,24.9,19.92,14.94,
178,25,20,15,
179,25.1,20.08,15.06,
180,25.1,20.08,15.06,
181,25.2,20.16,15.12,
182,25.3,20.24,15.18,
183,25.4,20.32,15.24,
184,25.4,20.32,15.24,
185,25.5,20.4,15.3,
186,25.6,20.48,15.36,
187,25.6,20.48,15.36,
188,25.7,20.56,15.42,
189,25.8,20.64,15.48,
190,25.8,20.64,15.48,
191,25.9,20.72,15.54,
192,26,20.8,15.6,
193,26.1,20.88,15.66,
194,26.1,20.88,15.66,
195,26.2,20.96,15.72,
196,26.3,21.04,15.78,
197,26.3,21.04,15.78,
198,26.4,21.12,15.84,
199,26.5,21.2,15.9,
200,26.5,21.2,15.9,
