Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.3,1.84,1.38,
1,35,28,21,
2,2.3,1.84,1.38,
3,2.3,1.84,1.38,
4,2.3,1.84,1.38,
5,2.3,1.84,1.38,
6,2.3,1.84,1.38,
7,2.3,1.84,1.38,
8,2.3,1.84,1.38,
9,2.5,2,1.5,
10,2.7,2.16,1.62,
11,2.8,2.24,1.68,
12,3,2.4,1.8,
13,3.2,2.56,1.92,
14,3.4,2.72,2.04,
15,3.5,2.8,2.1,
16,3.7,2.96,2.22,
17,3.9,3.12,2.34,
18,4.1,3.28,2.46,
19,4.3,3.44,2.58,
20,4.4,3.52,2.64,
21,4.6,3.68,2.76,
22,4.7,3.76,2.82,
23,4.9,3.92,2.94,
24,5.1,4.08,3.06,
25,5.2,4.16,3.12,
26,5.4,4.32,3.24,
27,5.6,4.48,3.36,
28,5.7,4.56,3.42,
29,5.9,4.72,3.54,
30,6.1,4.88,3.66,
31,6.3,5.04,3.78,
32,6.4,5.12,3.84,
33,6.6,5.28,3.96,
34,6.8,5.44,4.08,
35,6.9,5.52,4.14,
36,7.1,5.68,4.26,
37,7.3,5.84,4.38,
38,7.4,5.92,4.44,
39,7.6,6.08,4.56,
40,7.8,6.24,4.68,
41,8,6.4,4.8,
42,8.1,6.48,4.86,
43,8.3,6.64,4.98,
44,8.5,6.8,5.1,
45,8.6,6.88,5.16,
46,8.8,7.04,5.28,
47,9,7.2,5.4,
48,9.1,7.28,5.46,
49,9.3,7.44,5.58,
50,9.5,7.6,5.7,
51,9.6,7.68,5.76,
52,9.8,7.84,5.88,
53,10,8,6,
54,10.2,8.16,6.12,
55,10.3,8.24,6.18,
56,10.5,8.4,6.3,
57,10.7,8.56,6.42,
58,10.8,8.64,6.48,
59,11,8.8,6.6,
60,11.2,8.96,6.72,
61,11.3,9.04,6.78,
62,11.5,9.2,6.9,
63,11.7,9.36,7.02,
64,11.9,9.52,7.14,
65,12,9.6,7.2,
66,12.2,9.76,7.32,
67,12.4,9.92,7.44,
68,12.5,10,7.5,
69,12.7,10.16,7.62,
70,12.9,10.32,7.74,
71,13,10.4,7.8,
72,13.2,10.56,7.92,
73,13.4,10.72,8.04,
74,13.5,10.8,8.1,
75,13.7,10.96,8.22,
76,13.9,11.12,8.34,
77,14,11.2,8.4,
78,14.2,11.36,8.52,
79,14.4,11.52,8.64,
80,14.5,11.6,8.7,
81,14.7,11.76,8.82,
82,14.8,11.84,8.88,
83,15,12,9,
84,15.1,12.08,9.06,
85,15.3,12.24,9.18,
86,15.4,12.32,9.24,
87,15.5,12.4,9.3,
88,15.7,12.56,9.42,
89,15.8,12.64,9.48,
90,16,12.8,9.6,
91,16.1,12.88,9.66,
92,16.2,12.96,9.72,
93,16.4,13.12,9.84,
94,16.5,13.2,9.9,
95,16.6,13.28,9.96,
96,16.7,13.36,10.02,
97,16.9,13.52,10.14,
98,17,13.6,10.2,
99,17.1,13.68,10.26,
100,17.3,13.84,10.38,
101,17.4,13.92,10.44,
102,17.5,14,10.5,
103,17.6,14.08,10.56,
104,17.7,14.16,10.62,
105,17.8,14.24,10.68,
106,18,14.4,10.8,
107,18.1,14.48,10.86,
108,18.2,14.56,10.92,
109,18.3,14.64,10.98,
110,18.4,14.72,11.04,
111,18.6,14.88,11.16,
112,18.7,14.96,11.22,
113,18.8,15.04,11.28,
114,18.9,15.12,11.34,
115,19,15.2,11.4,
116,19.2,15.36,11.52,
117,19.3,15.44,11.58,
118,19.4,15.52,11.64,
119,19.5,15.6,11.7,
120,19.6,15.68,11.76,
121,19.7,15.76,11.82,
122,19.8,15.84,11.88,
123,19.9,15.92,11.94,
124,20,16,12,
125,20,16,12,
126,20.1,16.08,12.06,
127,20.2,16.16,12.12,
128,20.3,16.24,12.18,
129,20.3,16.24,12.18,
130,20.4,16.32,12.24,
131,20.5,16.4,12.3,
132,20.6,16.48,12.36,
133,20.7,16.56,12.42,
134,20.7,16.56,12.42,
135,20.8,16.64,12.48,
136,20.9,16.72,12.54,
137,21,16.8,12.6,
138,21.1,16.88,12.66,
139,21.1,16.88,12.66,
140,21.2,16.96,12.72,
141,21.3,17.04,12.78,
142,21.4,17.12,12.84,
143,21.4,17.12,12.84,
144,21.5,17.2,12.9,
145,21.6,17.28,12.96,
146,21.7,17.36,13.02,
147,21.8,17.44,13.08,
148,21.8,17.44,13.08,
149,21.9,17.52,13.14,
150,22,17.6,13.2,
151,22.1,17.68,13.26,
152,22.1,17.68,13.26,
153,22.2,17.76,13.32,
154,22.3,17.84,13.38,
155,22.3,17.84,13.38,
156,22.4,17.92,13.44,
157,22.5,18,13.5,
158,22.5,18,13.5,
159,22.6,18.08,13.56,
160,22.7,18.16,13.62,
161,22.7,18.16,13.62,
162,22.8,18.24,13.68,
163,22.9,18.32,13.74,
164,22.9,18.32,13.74,
165,23,18.4,13.8,
166,23.1,18.48,13.86,
167,23.1,18.48,13.86,
168,23.2,18.56,13.92,
169,23.3,18.64,13.98,
170,23.3,18.64,13.98,
171,23.4,18.72,14.04,
172,23.5,18.8,14.1,
173,23.5,18.8,14.1,
174,23.6,18.88,14.16,
175,23.7,18.96,14.22,
176,23.7,18.96,14.22,
177,23.8,19.04,14.28,
178,23.9,19.12,14.34,
179,23.9,19.12,14.34,
180,24,19.2,14.4,
181,24.1,19.28,14.46,
182,24.1,19.28,14.46,
183,24.2,19.36,14.52,
184,24.3,19.44,14.58,
185,24.3,19.44,14.58,
186,24.4,19.52,14.64,
187,24.5,19.6,14.7,
188,24.5,19.6,14.7,
189,24.6,19.68,14.76,
190,24.7,19.76,14.82,
191,24.7,19.76,14.82,
192,24.8,19.84,14.88,
193,24.9,19.92,14.94,
194,24.9,19.92,14.94,
195,25,20,15,
196,25,20,15,
197,25.1,20.08,15.06,
198,25.2,20.16,15.12,
199,25.2,20.16,15.12,
200,25.3,20.24,15.18,
