Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.5,2,1.5,
1,2.5,2,1.5,
2,2.5,2,1.5,
3,2.5,2,1.5,
4,2.5,2,1.5,
5,2.5,2,1.5,
6,2.5,2,1.5,
7,2.5,2,1.5,
8,2.5,2,1.5,
9,2.7,2.16,1.62,
10,2.9,2.32,1.74,
11,3.1,2.48,1.86,
12,3.3,2.64,1.98,
13,3.4,2.72,2.04,
14,3.6,2.88,2.16,
15,3.8,3.04,2.28,
16,4,3.2,2.4,
17,4.2,3.36,2.52,
18,4.4,3.52,2.64,
19,4.6,3.68,2.76,
20,4.7,3.76,2.82,
21,4.9,3.92,2.94,
22,5.1,4.08,3.06,
23,5.3,4.24,3.18,
24,5.5,4.4,3.3,
25,5.7,4.56,3.42,
26,5.8,4.64,3.48,
27,6,4.8,3.6,
28,6.2,4.96,3.72,
29,6.4,5.12,3.84,
30,6.6,5.28,3.96,
31,6.8,5.44,4.08,
32,7,5.6,4.2,
33,7.1,5.68,4.26,
34,7.3,5.84,4.38,
35,7.5,6,4.5,
36,7.7,6.16,4.62,
37,7.9,6.32,4.74,
38,8.1,6.48,4.86,
39,8.2,6.56,4.92,
40,8.4,6.72,5.04,
41,8.6,6.88,5.16,
42,8.8,7.04,5.28,
43,9,7.2,5.4,
44,9.1,7.28,5.46,
45,9.3,7.44,5.58,
46,9.5,7.6,5.7,
47,9.7,7.76,5.82,
48,9.9,7.92,5.94,
49,10.1,8.08,6.06,
50,10.2,8.16,6.12,
51,10.4,8.32,6.24,
52,10.6,8.48,6.36,
53,10.8,8.64,6.48,
54,10.9,8.72,6.54,
55,11.2,8.96,6.72,
56,11.3,9.04,6.78,
57,11.5,9.2,6.9,
58,11.7,9.36,7.02,
59,11.9,9.52,7.14,
60,12,9.6,7.2,
61,12.2,9.76,7.32,
62,12.4,9.92,7.44,
63,12.6,10.08,7.56,
64,12.8,10.24,7.68,
65,13,10.4,7.8,
66,13.2,10.56,7.92,
67,13.4,10.72,8.04,
68,13.5,10.8,8.1,
69,13.7,10.96,8.22,
70,13.9,11.12,8.34,
71,14.1,11.28,8.46,
72,14.3,11.44,8.58,
73,14.4,11.52,8.64,
74,14.6,11.68,8.76,
75,14.8,11.84,8.88,
76,15,12,9,
77,15.2,12.16,9.12,
78,15.4,12.32,9.24,
79,15.5,12.4,9.3,
80,15.6,12.48,9.36,
81,15.9,12.72,9.54,
82,16,12.8,9.6,
83,16.2,12.96,9.72,
84,16.3,13.04,9.78,
85,16.5,13.2,9.9,
86,16.5,13.2,9.9,
87,16.8,13.44,10.08,
88,16.9,13.52,10.14,
89,17.1,13.68,10.26,
