Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
90,17.2,13.76,10.32,
91,17.4,13.92,10.44,
92,17.5,14,10.5,
93,17.7,14.16,10.62,
94,17.8,14.24,10.68,
95,17.9,14.32,10.74,
96,18.1,14.48,10.86,
97,18.2,14.56,10.92,
98,18.4,14.72,11.04,
99,18.5,14.8,11.1,
100,18.6,14.88,11.16,
101,18.8,15.04,11.28,
102,18.9,15.12,11.34,
103,19,15.2,11.4,
104,19.2,15.36,11.52,
105,19.3,15.44,11.58,
106,19.4,15.52,11.64,
107,19.6,15.68,11.76,
108,19.7,15.76,11.82,
109,19.8,15.84,11.88,
110,19.9,15.92,11.94,
111,20.1,16.08,12.06,
112,20.2,16.16,12.12,
113,20.2,16.16,12.12,
114,20.5,16.4,12.3,
115,20.6,16.48,12.36,
116,20.7,16.56,12.42,
117,20.8,16.64,12.48,
118,21,16.8,12.6,
119,21.1,16.88,12.66,
120,21.1,16.88,12.66,
121,21.3,17.04,12.78,
122,21.4,17.12,12.84,
123,21.5,17.2,12.9,
124,21.5,17.2,12.9,
125,21.6,17.28,12.96,
126,21.7,17.36,13.02,
127,21.8,17.44,13.08,
128,21.9,17.52,13.14,
129,22,17.6,13.2,
130,22,17.6,13.2,
131,22.1,17.68,13.26,
132,22.2,17.76,13.32,
133,22.3,17.84,13.38,
134,22.4,17.92,13.44,
135,22.5,18,13.5,
136,22.5,18,13.5,
137,22.6,18.08,13.56,
138,22.7,18.16,13.62,
139,22.8,18.24,13.68,
140,22.9,18.32,13.74,
141,23,18.4,13.8,
142,23,18.4,13.8,
143,23.1,18.48,13.86,
144,23.2,18.56,13.92,
145,23.3,18.64,13.98,
146,23.4,18.72,14.04,
147,23.5,18.8,14.1,
148,23.5,18.8,14.1,
149,23.6,18.88,14.16,
150,23.7,18.96,14.22,
151,23.8,19.04,14.28,
152,23.8,19.04,14.28,
153,23.9,19.12,14.34,
154,24,19.2,14.4,
155,24.1,19.28,14.46,
156,24.1,19.28,14.46,
157,24.2,19.36,14.52,
158,24.3,19.44,14.58,
159,24.4,19.52,14.64,
160,24.4,19.52,14.64,
161,24.5,19.6,14.7,
162,24.6,19.68,14.76,
163,24.7,19.76,14.82,
164,24.7,19.76,14.82,
165,24.8,19.84,14.88,
166,24.9,19.92,14.94,
167,25,20,15,
168,25,20,15,
169,25.1,20.08,15.06,
170,25.2,20.16,15.12,
171,25.2,20.16,15.12,
172,25.3,20.24,15.18,
173,25.4,20.32,15.24,
174,25.5,20.4,15.3,
175,25.5,20.4,15.3,
176,25.6,20.48,15.36,
177,25.7,20.56,15.42,
178,25.8,20.64,15.48,
179,25.8,20.64,15.48,
180,25.9,20.72,15.54,
181,26,20.8,15.6,
182,26.1,20.88,15.66,
183,26.1,20.88,15.66,
184,26.2,20.96,15.72,
185,26.3,21.04,15.78,
186,26.4,21.12,15.84,
187,26.4,21.12,15.84,
188,26.5,21.2,15.9,
189,26.6,21.28,15.96,
190,26.6,21.28,15.96,
191,26.7,21.36,16.02,
192,26.8,21.44,16.08,
193,26.9,21.52,16.14,
194,26.9,21.52,16.14,
195,27,21.6,16.2,
196,27.1,21.68,16.26,
197,27.2,21.76,16.32,
198,27.2,21.76,16.32,
199,27.3,21.84,16.38,
200,27.4,21.92,16.44,
