Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.1,1.68,1.26,
1,2.1,1.68,1.26,
2,2.1,1.68,1.26,
3,2.1,1.68,1.26,
4,2.1,1.68,1.26,
5,2.1,1.68,1.26,
6,2.1,1.68,1.26,
7,2.1,1.68,1.26,
8,2.1,1.68,1.26,
9,2.3,1.84,1.38,
10,2.5,2,1.5,
11,2.6,2.08,1.56,
12,2.8,2.24,1.68,
13,3,2.4,1.8,
14,3.2,2.56,1.92,
15,3.3,2.64,1.98,
16,3.5,2.8,2.1,
17,3.7,2.96,2.22,
18,3.8,3.04,2.28,
19,4,3.2,2.4,
20,4.1,3.28,2.46,
21,4.4,3.52,2.64,
22,4.5,3.6,2.7,
23,4.6,3.68,2.76,
24,4.8,3.84,2.88,
25,5,4,3,
26,5.1,4.08,3.06,
27,5.3,4.24,3.18,
28,5.4,4.32,3.24,
29,5.6,4.48,3.36,
30,5.8,4.64,3.48,
31,5.9,4.72,3.54,
32,6.1,4.88,3.66,
33,6.3,5.04,3.78,
34,6.4,5.12,3.84,
35,6.6,5.28,3.96,
36,6.8,5.44,4.08,
37,6.9,5.52,4.14,
38,7.1,5.68,4.26,
39,7.2,5.76,4.32,
40,7.4,5.92,4.44,
41,7.5,6,4.5,
42,7.7,6.16,4.62,
43,7.8,6.24,4.68,
44,8,6.4,4.8,
45,8.2,6.56,4.92,
46,8.3,6.64,4.98,
47,8.5,6.8,5.1,
48,8.6,6.88,5.16,
49,8.8,7.04,5.28,
50,9,7.2,5.4,
51,9.1,7.28,5.46,
52,9.3,7.44,5.58,
53,9.5,7.6,5.7,
54,9.6,7.68,5.76,
55,9.7,7.76,5.82,
56,9.9,7.92,5.94,
57,10,8,6,
58,10.2,8.16,6.12,
59,10.4,8.32,6.24,
60,10.5,8.4,6.3,
61,10.7,8.56,6.42,
62,10.8,8.64,6.48,
63,11,8.8,6.6,
64,11.1,8.88,6.66,
65,11.3,9.04,6.78,
66,11.4,9.12,6.84,
67,11.6,9.28,6.96,
68,11.8,9.44,7.08,
69,11.9,9.52,7.14,
70,12.1,9.68,7.26,
71,12.2,9.76,7.32,
72,12.4,9.92,7.44,
73,12.6,10.08,7.56,
74,12.7,10.16,7.62,
75,12.9,10.32,7.74,
76,13,10.4,7.8,
77,13.2,10.56,7.92,
78,13.3,10.64,7.98,
79,13.5,10.8,8.1,
80,13.6,10.88,8.16,
81,13.8,11.04,8.28,
82,13.9,11.12,8.34,
83,14.1,11.28,8.46,
84,14.2,11.36,8.52,
85,14.3,11.44,8.58,
86,14.5,11.6,8.7,
87,14.7,11.76,8.82,
88,14.8,11.84,8.88,
89,14.9,11.92,8.94,
90,15.1,12.08,9.06,
91,15.2,12.16,9.12,
92,15.4,12.32,9.24,
93,15.5,12.4,9.3,
94,15.6,12.48,9.36,
95,15.8,12.64,9.48,
96,15.9,12.72,9.54,
97,16.1,12.88,9.66,
98,16.2,12.96,9.72,
99,16.3,13.04,9.78,
100,16.5,13.2,9.9,
101,16.6,13.28,9.96,
102,16.7,13.36,10.02,
103,16.8,13.44,10.08,
104,16.9,13.52,10.14,
105,17.1,13.68,10.26,
106,17.2,13.76,10.32,
107,17.3,13.84,10.38,
108,17.4,13.92,10.44,
109,17.5,14,10.5,
110,17.6,14.08,10.56,
111,17.7,14.16,10.62,
112,17.9,14.32,10.74,
113,18,14.4,10.8,
114,18.1,14.48,10.86,
115,18.2,14.56,10.92,
116,18.3,14.64,10.98,
117,18.4,14.72,11.04,
118,18.6,14.88,11.16,
119,18.7,14.96,11.22,
120,18.8,15.04,11.28,
121,18.8,15.04,11.28,
122,18.9,15.12,11.34,
123,19,15.2,11.4,
124,19.1,15.28,11.46,
125,19.2,15.36,11.52,
126,19.2,15.36,11.52,
127,19.3,15.44,11.58,
128,19.4,15.52,11.64,
129,19.5,15.6,11.7,
130,19.5,15.6,11.7,
131,19.6,15.68,11.76,
132,19.7,15.76,11.82,
133,19.8,15.84,11.88,
134,19.9,15.92,11.94,
135,19.9,15.92,11.94,
136,20,16,12,
137,20.1,16.08,12.06,
138,20.2,16.16,12.12,
139,20.2,16.16,12.12,
140,20.3,16.24,12.18,
141,20.4,16.32,12.24,
142,20.5,16.4,12.3,
143,20.6,16.48,12.36,
144,20.6,16.48,12.36,
145,20.7,16.56,12.42,
146,20.8,16.64,12.48,
147,20.9,16.72,12.54,
148,20.9,16.72,12.54,
149,21,16.8,12.6,
150,21.1,16.88,12.66,
151,21.2,16.96,12.72,
152,21.2,16.96,12.72,
153,21.3,17.04,12.78,
154,21.4,17.12,12.84,
155,21.4,17.12,12.84,
156,21.5,17.2,12.9,
157,21.5,17.2,12.9,
158,21.6,17.28,12.96,
159,21.7,17.36,13.02,
160,21.7,17.36,13.02,
161,21.8,17.44,13.08,
162,21.9,17.52,13.14,
163,21.9,17.52,13.14,
164,22,17.6,13.2,
165,22.1,17.68,13.26,
166,22.1,17.68,13.26,
167,22.2,17.76,13.32,
168,22.3,17.84,13.38,
169,22.3,17.84,13.38,
170,22.4,17.92,13.44,
171,22.5,18,13.5,
172,22.5,18,13.5,
173,22.6,18.08,13.56,
174,22.6,18.08,13.56,
175,22.7,18.16,13.62,
176,22.8,18.24,13.68,
177,22.8,18.24,13.68,
178,22.9,18.32,13.74,
179,23,18.4,13.8,
180,23,18.4,13.8,
181,23.1,18.48,13.86,
182,23.2,18.56,13.92,
183,23.2,18.56,13.92,
184,23.3,18.64,13.98,
185,23.4,18.72,14.04,
186,23.4,18.72,14.04,
187,23.5,18.8,14.1,
188,23.5,18.8,14.1,
189,23.6,18.88,14.16,
190,23.7,18.96,14.22,
191,23.7,18.96,14.22,
192,23.8,19.04,14.28,
193,23.9,19.12,14.34,
194,23.9,19.12,14.34,
195,24,19.2,14.4,
196,24.1,19.28,14.46,
197,24.1,19.28,14.46,
198,24.2,19.36,14.52,
199,24.3,19.44,14.58,
200,24.3,19.44,14.58,
