Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
169,23,18.4,13.8,
170,23.1,18.48,13.86,
171,23.1,18.48,13.86,
172,23.2,18.56,13.92,
173,23.3,18.64,13.98,
174,23.3,18.64,13.98,
175,23.4,18.72,14.04,
176,23.5,18.8,14.1,
177,23.5,18.8,14.1,
178,23.6,18.88,14.16,
179,23.7,18.96,14.22,
180,23.7,18.96,14.22,
181,23.8,19.04,14.28,
182,23.9,19.12,14.34,
183,23.9,19.12,14.34,
184,24,19.2,14.4,
185,24.1,19.28,14.46,
186,24.2,19.36,14.52,
187,24.2,19.36,14.52,
188,24.3,19.44,14.58,
189,24.3,19.44,14.58,
190,24.4,19.52,14.64,
191,24.5,19.6,14.7,
192,24.5,19.6,14.7,
193,24.6,19.68,14.76,
194,24.7,19.76,14.82,
195,24.8,19.84,14.88,
196,24.8,19.84,14.88,
197,24.9,19.92,14.94,
198,25,20,15,
199,25,20,15,
200,25.1,20.08,15.06,
