Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.1,1.68,1.26,
1,2.1,1.68,1.26,
2,2.1,1.68,1.26,
3,2.1,1.68,1.26,
4,2.1,1.68,1.26,
5,2.1,1.68,1.26,
6,2.1,1.68,1.26,
7,2.1,1.68,1.26,
8,2.1,1.68,1.26,
9,2.2,1.76,1.32,
10,2.4,1.92,1.44,
11,2.5,2,1.5,
12,2.7,2.16,1.62,
13,2.9,2.32,1.74,
14,3.1,2.48,1.86,
15,3.2,2.56,1.92,
16,3.4,2.72,2.04,
17,3.6,2.88,2.16,
18,3.7,2.96,2.22,
19,3.9,3.12,2.34,
20,4,3.2,2.4,
21,4.2,3.36,2.52,
22,4.3,3.44,2.58,
23,4.5,3.6,2.7,
24,4.6,3.68,2.76,
25,4.8,3.84,2.88,
26,5,4,3,
27,5.1,4.08,3.06,
28,5.3,4.24,3.18,
29,5.4,4.32,3.24,
30,5.6,4.48,3.36,
31,5.7,4.56,3.42,
32,5.9,4.72,3.54,
33,6.1,4.88,3.66,
34,6.2,4.96,3.72,
35,6.4,5.12,3.84,
36,6.5,5.2,3.9,
37,6.7,5.36,4.02,
38,6.8,5.44,4.08,
39,7,5.6,4.2,
40,7.1,5.68,4.26,
41,7.3,5.84,4.38,
42,7.5,6,4.5,
43,7.6,6.08,4.56,
44,7.8,6.24,4.68,
45,7.9,6.32,4.74,
46,8.1,6.48,4.86,
47,8.2,6.56,4.92,
48,8.4,6.72,5.04,
49,8.5,6.8,5.1,
50,8.7,6.96,5.22,
51,8.8,7.04,5.28,
52,9,7.2,5.4,
53,9.1,7.28,5.46,
54,9.3,7.44,5.58,
55,9.4,7.52,5.64,
56,9.6,7.68,5.76,
57,9.7,7.76,5.82,
58,9.9,7.92,5.94,
59,10,8,6,
60,10.2,8.16,6.12,
61,10.3,8.24,6.18,
62,10.5,8.4,6.3,
63,10.6,8.48,6.36,
64,10.8,8.64,6.48,
65,10.9,8.72,6.54,
66,11.1,8.88,6.66,
67,11.2,8.96,6.72,
68,11.4,9.12,6.84,
69,11.5,9.2,6.9,
70,11.7,9.36,7.02,
71,11.8,9.44,7.08,
72,12,9.6,7.2,
73,12.1,9.68,7.26,
74,12.3,9.84,7.38,
75,12.5,10,7.5,
76,12.6,10.08,7.56,
77,12.8,10.24,7.68,
78,12.9,10.32,7.74,
79,13.1,10.48,7.86,
80,13.2,10.56,7.92,
81,13.3,10.64,7.98,
82,13.5,10.8,8.1,
83,13.6,10.88,8.16,
84,13.7,10.96,8.22,
85,13.9,11.12,8.34,
86,14,11.2,8.4,
87,14.1,11.28,8.46,
88,14.3,11.44,8.58,
89,14.4,11.52,8.64,
90,14.5,11.6,8.7,
91,14.7,11.76,8.82,
92,14.8,11.84,8.88,
93,14.9,11.92,8.94,
94,15.1,12.08,9.06,
95,15.2,12.16,9.12,
96,15.3,12.24,9.18,
97,15.5,12.4,9.3,
98,15.6,12.48,9.36,
99,15.7,12.56,9.42,
100,15.9,12.72,9.54,
101,16,12.8,9.6,
102,16.1,12.88,9.66,
103,16.2,12.96,9.72,
104,16.3,13.04,9.78,
105,16.4,13.12,9.84,
106,16.5,13.2,9.9,
107,16.6,13.28,9.96,
108,16.7,13.36,10.02,
109,16.8,13.44,10.08,
110,17,13.6,10.2,
111,17.1,13.68,10.26,
112,17.2,13.76,10.32,
113,17.3,13.84,10.38,
114,17.4,13.92,10.44,
115,17.5,14,10.5,
116,17.6,14.08,10.56,
117,17.7,14.16,10.62,
118,17.8,14.24,10.68,
119,17.9,14.32,10.74,
120,17.9,14.32,10.74,
121,18.1,14.48,10.86,
122,18.2,14.56,10.92,
123,18.3,14.64,10.98,
124,18.3,14.64,10.98,
125,18.4,14.72,11.04,
126,18.5,14.8,11.1,
127,18.6,14.88,11.16,
128,18.6,14.88,11.16,
129,18.7,14.96,11.22,
130,18.8,15.04,11.28,
131,18.9,15.12,11.34,
132,18.9,15.12,11.34,
133,19,15.2,11.4,
134,19.1,15.28,11.46,
135,19.2,15.36,11.52,
136,19.3,15.44,11.58,
137,19.3,15.44,11.58,
138,19.4,15.52,11.64,
139,19.5,15.6,11.7,
140,19.6,15.68,11.76,
141,19.6,15.68,11.76,
142,19.7,15.76,11.82,
143,19.8,15.84,11.88,
144,19.9,15.92,11.94,
145,19.9,15.92,11.94,
146,20,16,12,
147,20.1,16.08,12.06,
148,20.2,16.16,12.12,
149,20.2,16.16,12.12,
150,20.3,16.24,12.18,
151,20.4,16.32,12.24,
152,20.4,16.32,12.24,
153,20.5,16.4,12.3,
154,20.6,16.48,12.36,
155,20.6,16.48,12.36,
156,20.7,16.56,12.42,
157,20.7,16.56,12.42,
158,20.8,16.64,12.48,
159,20.9,16.72,12.54,
160,20.9,16.72,12.54,
161,21,16.8,12.6,
162,21.1,16.88,12.66,
163,21.1,16.88,12.66,
164,21.2,16.96,12.72,
165,21.2,16.96,12.72,
166,21.3,17.04,12.78,
167,21.4,17.12,12.84,
168,21.4,17.12,12.84,
169,21.5,17.2,12.9,
170,21.6,17.28,12.96,
171,21.6,17.28,12.96,
172,21.7,17.36,13.02,
173,21.7,17.36,13.02,
174,21.8,17.44,13.08,
175,21.9,17.52,13.14,
176,21.9,17.52,13.14,
177,22,17.6,13.2,
178,22.1,17.68,13.26,
179,22.1,17.68,13.26,
180,22.2,17.76,13.32,
181,22.2,17.76,13.32,
182,22.3,17.84,13.38,
183,22.4,17.92,13.44,
184,22.4,17.92,13.44,
185,22.5,18,13.5,
186,22.6,18.08,13.56,
187,22.6,18.08,13.56,
188,22.7,18.16,13.62,
189,22.7,18.16,13.62,
190,22.8,18.24,13.68,
191,22.9,18.32,13.74,
192,22.9,18.32,13.74,
193,23,18.4,13.8,
194,23.1,18.48,13.86,
195,23.1,18.48,13.86,
196,23.2,18.56,13.92,
197,23.2,18.56,13.92,
198,23.3,18.64,13.98,
199,23.4,18.72,14.04,
200,23.4,18.72,14.04,
