Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.3,1.84,1.38,
1,2.3,1.84,1.38,
2,2.3,1.84,1.38,
3,2.3,1.84,1.38,
4,2.3,1.84,1.38,
5,2.3,1.84,1.38,
6,2.3,1.84,1.38,
7,2.3,1.84,1.38,
8,2.3,1.84,1.38,
9,2.5,2,1.5,
10,2.7,2.16,1.62,
11,2.8,2.24,1.68,
12,3,2.4,1.8,
13,3.1,2.48,1.86,
14,3.3,2.64,1.98,
15,3.5,2.8,2.1,
16,3.6,2.88,2.16,
17,3.8,3.04,2.28,
18,4,3.2,2.4,
19,4.2,3.36,2.52,
20,4.4,3.52,2.64,
21,4.5,3.6,2.7,
22,4.7,3.76,2.82,
23,4.8,3.84,2.88,
24,5,4,3,
25,5.2,4.16,3.12,
26,5.3,4.24,3.18,
27,5.5,4.4,3.3,
28,5.7,4.56,3.42,
29,5.8,4.64,3.48,
30,6,4.8,3.6,
31,6.2,4.96,3.72,
32,6.3,5.04,3.78,
33,6.5,5.2,3.9,
34,6.7,5.36,4.02,
35,6.8,5.44,4.08,
36,7,5.6,4.2,
37,7.2,5.76,4.32,
38,7.4,5.92,4.44,
39,7.5,6,4.5,
40,7.7,6.16,4.62,
41,7.9,6.32,4.74,
42,8,6.4,4.8,
43,8.2,6.56,4.92,
44,8.3,6.64,4.98,
45,8.5,6.8,5.1,
46,8.7,6.96,5.22,
47,8.8,7.04,5.28,
48,9,7.2,5.4,
49,9.2,7.36,5.52,
50,9.3,7.44,5.58,
51,9.5,7.6,5.7,
52,9.7,7.76,5.82,
53,9.8,7.84,5.88,
54,10,8,6,
55,10.2,8.16,6.12,
56,10.3,8.24,6.18,
57,10.5,8.4,6.3,
58,10.7,8.56,6.42,
59,10.8,8.64,6.48,
60,11,8.8,6.6,
61,11.2,8.96,6.72,
62,11.3,9.04,6.78,
63,11.5,9.2,6.9,
64,11.7,9.36,7.02,
65,11.9,9.52,7.14,
66,12.1,9.68,7.26,
67,12.3,9.84,7.38,
68,12.4,9.92,7.44,
69,12.5,10,7.5,
70,12.7,10.16,7.62,
71,12.9,10.32,7.74,
72,13,10.4,7.8,
73,13.2,10.56,7.92,
74,13.3,10.64,7.98,
75,13.5,10.8,8.1,
76,13.7,10.96,8.22,
77,13.9,11.12,8.34,
78,14,11.2,8.4,
